Order,Superfamily,Family,Subfamily,Tribe,Subtribe,Genus,Subgenus,specific_epithet,Species,subspecific_epithet,Subspecies,Full Name,Synonyms
LEPIDOPTERA,PAPILIONOIDEA,PIERIDAE,COLIADINAE,,,Abaeis,,nicippe,Abaeis nicippe,,,Abaeis nicippe,"Eurema dammersi, Terias flava, Eurema pallens, Eurema callae, Papilio nicippe"
LEPIDOPTERA,PAPILIONOIDEA,PIERIDAE,COLIADINAE,,,Abaeis,,nicippiformis,Abaeis nicippiformis,,,Abaeis nicippiformis,Eurema nicippiformis
LEPIDOPTERA,PAPILIONOIDEA,PIERIDAE,PIERINAE,,,Afrodryas,,leda,Afrodryas leda,,,Afrodryas leda,"Eronia flava, Eronia gomensis, Afrodryas clytaemnestra, Eronia punctata, Eronia cygnophila, Eronia pupillata, Eronia trimenii, Eronia inargyrata, Dryas wahlbergi, Anthocharis tekoukoule, Dryas leda, Eronia trimeni"
LEPIDOPTERA,PAPILIONOIDEA,PIERIDAE,COLIADINAE,,,Anteos,,clorinde,Anteos clorinde,,,Anteos clorinde,"Anteos atromarginatus, Colias godarti, Colias clorinde, Rhodocera nivifera, Amynthia swainsonia"
LEPIDOPTERA,PAPILIONOIDEA,PIERIDAE,COLIADINAE,,,Anteos,,maerula,Anteos maerula,,,Anteos maerula,"Gonepteryx flava, Rhodocera gueneeana, Rhodocera lacordairei, Papilio maerula, Rhodocera maerula  , Amynthia maerula"
LEPIDOPTERA,PAPILIONOIDEA,PIERIDAE,COLIADINAE,,,Anteos,,menippe,Anteos menippe,,,Anteos menippe,"Colias leachiana, Gonepteryx calypso, Gonepteryx thetis, Mancipium menippe, Rhodocera metioche"
LEPIDOPTERA,PAPILIONOIDEA,PIERIDAE,PIERINAE,ANTHOCHARIDINI,,Anthocharis,,bambusarum,Anthocharis bambusarum,,,Anthocharis bambusarum,Anthocharis extensa
LEPIDOPTERA,PAPILIONOIDEA,PIERIDAE,PIERINAE,ANTHOCHARIDINI,,Anthocharis,,belia,Anthocharis belia,,,Anthocharis belia,"Anthocharis douei, Anthocharis douaei, Anthocharis houzeaui, Anthocharis rosea, Euchloe intermedia, Euchloe cardabelia, Euchloe gynomorphica, Papilio eupheno, Papilio belia, Euchloe nigritior"
LEPIDOPTERA,PAPILIONOIDEA,PIERIDAE,PIERINAE,ANTHOCHARIDINI,,Anthocharis,,belia,Anthocharis belia,androgyne,Anthocharis belia androgyne,Anthocharis belia androgyne,Anthocharis androgyne
LEPIDOPTERA,PAPILIONOIDEA,PIERIDAE,PIERINAE,ANTHOCHARIDINI,,Anthocharis,,cardamines,Anthocharis cardamines,,,Anthocharis cardamines,"Anthocharis cardaminoides, Anthocharis flavidovirescens, Euchloe maculapunctata, Euchloe subtusflavovenata, Euchloe reignaci, Anthocharis radians, Anthocharis minora, Anthocharis immaculata, Anthocharis ochrea, Euchloe montivaga, Anthocharis nigricosta, Anthocharis catalonica, Euchloe citronea, Anthocharis androgyna, Anthocharis arsenoides, Antocharis perflavida, Anthocharis luteola, Anthocharis marginemaculata, Anthocharis umbratilis, Euchloe ochracea, Euchloe deaurata, Anthocharis cinerea, Euchloe major, Anthocharis dispila, Euchloe sulfureovenata, Euchloe marginata, Euchloe caulosticta, Euchloe ochrata, Euchloe williamsi, Anthocharis flavoradiata, Euchloe antiquincunx, Euchloe lutea, Anthocharis femininus, Euchloe aureoflavescens, Euchloe minor, Euchloe hellas, Anthocharis nigrocellularis, Anthocharis sassafrana, Anthocharis flavescens, Anthocharis crocea, Anthocaris lasthenia, Anthocharis discocellularis, Anthocharis costaenigrata, Anthocharis bimaculata, Anthocharis buschmanni, Anthocharis transvestita, Anthocharis quadripunctata, Anthocharis nigroconjuncta, Anthocharis subflavopicta, Anthocharis bilineata, Anthocharis pulverulenta, Anthocharis crassipuncta, Anthocaris striata, Anthocharis ampla, Anthocharis hybridophana, Anthocharis divisa, Anthocharis alberti, Anthocharis minor, Orthocaris reignaci, Euchloe reductus, Euchloe decolorata, Anthocharis decolorata, Anthocharis sagittata, Anthocharis subtustriata, Euchloe proosti, Anthocharis schepdaeli, Euchloe kutukovi, Euchloe commaculata, Euchloe detersa, Euchloe orientalis, Euchloe sajana, Euchloe graeca, Euchloe andromorpha, Euchloe sulfuratus, Papilio cardamines, Euchloe pupillata, Anthocaris lineata, Euchloe caulotosticta, Euchloe flava, Euchloe hibernica, Euchloe radiata, Euchloe flavus, Euchloe luteus, Euchloe saxonia"
